CustomIntervall;; linecount Zugang Europaviertel; linecount Bahnsteig01; linecount Bahnsteig02; linecount Bahnsteig03; linecount Bahnsteig04; linecount Bahnsteig05; linecount Bahnsteig06; linecount Bahnsteig07; linecount Bahnsteig08; Querbahnsteig; STG_QB04_Steg01; STG_Bonatz10_Steg01; STG_QB12_Steg02; STG_Bonatz13_Steg02; STG_Bonatz04; linecount Zugang Infoturm Stuttgart; linecount Zugang Schlossgarten; (AB) linecount Zugang Schlossgarten+ITS;Bahnsteige Gesamt angepasst;Steg 02 Gesamt
08.01.2023 23:00;;326;83;73;221;155;146;0;107;370;1155;0;0;0;0;393;2;66;0;1.155;393
09.01.2023 00:00;;187;37;43;48;50;141;0;42;146;507;0;0;0;0;148;0;22;0;507;148
09.01.2023 01:00;;56;30;17;11;4;95;0;22;3;182;0;0;0;0;49;0;6;0;182;49
09.01.2023 02:00;;48;13;3;14;0;72;0;16;5;123;0;0;0;0;28;2;12;0;123;28
09.01.2023 03:00;;41;35;8;7;2;6;0;13;77;148;0;0;0;0;37;0;4;0;148;37
09.01.2023 04:00;;178;29;62;41;76;122;0;30;103;463;0;0;0;0;101;4;17;0;463;101
09.01.2023 05:00;;445;120;123;187;51;297;0;222;236;1236;0;0;0;0;402;6;67;0;1.236;402
09.01.2023 06:00;;1255;410;350;411;769;492;0;530;570;3532;0;0;0;0;1070;2;203;0;3.532;1.070
09.01.2023 07:00;;2651;502;887;1263;687;953;0;1252;1499;7043;0;0;0;0;2326;14;395;0;7.043;2.326
09.01.2023 08:00;;2434;842;831;581;662;1340;0;916;1194;6366;0;0;0;0;2029;20;363;0;6.366;2.029
09.01.2023 09:00;;1527;575;340;818;500;709;0;594;1382;4918;0;0;0;0;1437;33;161;0;4.918;1.437
09.01.2023 10:00;;1418;783;233;478;609;1259;0;357;1018;4737;0;0;0;0;1210;39;155;0;4.737;1.210
09.01.2023 11:00;;1330;750;406;384;366;884;0;552;1030;4372;0;0;0;0;1219;31;138;0;4.372;1.219
09.01.2023 12:00;;1380;807;567;603;511;705;0;777;888;4858;0;0;0;0;1322;38;221;0;4.858;1.322
09.01.2023 13:00;;1444;776;489;665;625;672;0;533;978;4738;0;0;0;0;1442;34;163;0;4.738;1.442
09.01.2023 14:00;;1492;884;425;470;770;1189;0;592;1166;5496;0;0;0;0;1583;19;219;0;5.496;1.583
09.01.2023 15:00;;1617;893;748;285;546;814;0;934;1208;5428;0;0;0;0;1693;52;241;0;5.428;1.693
09.01.2023 16:00;;2504;889;1113;826;699;1132;0;1252;1535;7446;0;0;0;0;2479;29;405;0;7.446;2.479
09.01.2023 17:00;;2379;882;955;835;534;1167;0;949;1831;7153;0;0;0;0;2508;44;384;0;7.153;2.508
09.01.2023 18:00;;1578;720;746;405;473;826;0;529;1137;4836;0;0;0;0;1765;9;204;0;4.836;1.765
09.01.2023 19:00;;1155;505;399;616;839;591;0;730;921;4601;0;0;0;0;1255;16;199;0;4.601;1.255
09.01.2023 20:00;;823;416;258;140;434;391;0;516;768;2923;0;0;0;0;864;2;99;0;2.923;864
09.01.2023 21:00;;653;217;154;229;191;289;0;426;871;2377;0;0;0;0;788;6;80;0;2.377;788
09.01.2023 22:00;;609;270;245;341;167;364;0;167;444;1998;0;0;0;0;566;8;67;0;1.998;566
09.01.2023 23:00;;420;255;220;334;118;166;0;145;219;1457;0;0;0;0;347;2;46;0;1.457;347
